Cód. Item; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ;Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ;  Vl. Perda ; Vl. Ganho ; Vol. Aferido 
782;6.500,00; -   ;6.500,00;345,11;6.154,89;;18,11;6.173,00;6;6.500,00; -   ;6.500,00;345,11;6.154,89; -   ;18,11;6.173,00
1;13.558,00;5.000,00;18.558,00;2.792,89;15.765,11;;33,89;15.799,00;3;13.558,00;5.000,00;18.558,00;2.792,89;15.765,11; -   ;33,89;15.799,00
2;4.965,00;5.000,00;9.965,00;1.180,23;8.784,77;;20,23;8.805,00;1;4.965,00;5.000,00;9.965,00;1.180,23;8.784,77; -   ;20,23;8.805,00
3;7.630,00; -   ;7.630,00;1.886,43;5.743,57;3,57;;5.740,00;2;7.630,00; -   ;7.630,00;1.886,43;5.743,57;3,57; -   ;5.740,00
782;6.173,00; -   ;6.173,00;374,3;5.798,70;7,7;;5.791,00;6;6.173,00; -   ;6.173,00;374,3;5.798,70;7,7; -   ;5.791,00
1;15.799,00; -   ;15.799,00;3.788,45;12.010,55;;19,45;12.030,00;3;15.799,00; -   ;15.799,00;3.788,45;12.010,55; -   ;19,45;12.030,00
3;5.670,00; -   ;5.670,00;1.700,35;3.969,65;;19,35;3.989,00;2;5.670,00; -   ;5.670,00;1.700,35;3.969,65; -   ;19,35;3.989,00
782;4.675,00; -   ;4.675,00;485,64;4.189,36;;3,64;4.193,00;6;4.675,00; -   ;4.675,00;485,64;4.189,36; -   ;3,64;4.193,00
1;18.690,00; -   ;18.690,00;3.612,25;15.077,75;7,75;;15.070,00;3;18.690,00; -   ;18.690,00;3.612,25;15.077,75;7,75; -   ;15.070,00
2;3.670,00;5.000,00;8.670,00;703,09;7.966,91;;32,09;7.999,00;1;3.670,00;5.000,00;8.670,00;703,09;7.966,91; -   ;32,09;7.999,00
3;3.989,00;5.000,00;8.989,00;1.458,97;7.530,03;;7,97;7.538,00;2;3.989,00;5.000,00;8.989,00;1.458,97;7.530,03; -   ;7,97;7.538,00
782;4.193,00; -   ;4.193,00;351,03;3.841,97;20,97;;3.821,00;6;4.193,00; -   ;4.193,00;351,03;3.841,97;20,97; -   ;3.821,00
1;15.070,00; -   ;15.070,00;2.630,91;12.439,09;;17,91;12.457,00;3;15.070,00; -   ;15.070,00;2.630,91;12.439,09; -   ;17,91;12.457,00
2;7.999,00; -   ;7.999,00;1.168,48;6.830,52;2,52;;6.828,00;1;7.999,00; -   ;7.999,00;1.168,48;6.830,52;2,52; -   ;6.828,00
3;7.538,00; -   ;7.538,00;1.585,29;5.952,71;2,71;;5.950,00;2;7.538,00; -   ;7.538,00;1.585,29;5.952,71;2,71; -   ;5.950,00
782;3.821,00; -   ;3.821,00;698,25;3.122,75;9,75;;3.113,00;6;3.821,00; -   ;3.821,00;698,25;3.122,75;9,75; -   ;3.113,00
1;12.457,00;5.000,00;17.457,00;2.249,43;15.207,57;;42,43;15.250,00;3;12.457,00;5.000,00;17.457,00;2.249,43;15.207,57; -   ;42,43;15.250,00
2;6.828,00; -   ;6.828,00;1.441,23;5.386,77;10,77;;5.376,00;1;6.828,00; -   ;6.828,00;1.441,23;5.386,77;10,77; -   ;5.376,00
3;5.950,00; -   ;5.950,00;1.640,02;4.309,98;4,98;;4.305,00;2;5.950,00; -   ;5.950,00;1.640,02;4.309,98;4,98; -   ;4.305,00
782;3.113,00;5.000,00;8.113,00;412,87;7.700,13;;42,87;7.743,00;6;3.113,00;5.000,00;8.113,00;412,87;7.700,13; -   ;42,87;7.743,00
1;15.250,00; -   ;15.250,00;3.697,11;11.552,89;;27,11;11.580,00;3;15.250,00; -   ;15.250,00;3.697,11;11.552,89; -   ;27,11;11.580,00
2;5.376,00; -   ;5.376,00;1.115,67;4.260,33;10,33; -   ;4.250,00;1;5.376,00; -   ;5.376,00;1.115,67;4.260,33;10,33; -   ;4.250,00
3;4.305,00; -   ;4.305,00;1.747,63;2.557,37;;13,63;2.571,00;2;4.305,00; -   ;4.305,00;1.747,63;2.557,37; -   ;13,63;2.571,00
782;7.743,00; -   ;7.743,00;1.140,74;6.602,26;;25,74;6.628,00;6;7.743,00; -   ;7.743,00;1.140,74;6.602,26; -   ;25,74;6.628,00
1;11.580,00;5.000,00;16.580,00;4.052,25;12.527,75;;3,25;12.531,00;3;11.580,00;5.000,00;16.580,00;4.052,25;12.527,75; -   ;3,25;12.531,00
