Cód. Item; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ;Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ;  Vl. Perda ; Vl. Ganho ; Vol. Aferido 
3;7.269,00; -   ;7.269,00;2.148,56;5.120,44;11,44;;5.109,00;2;7.269,00; -   ;7.269,00;2.148,56;5.120,44;11,44; -   ;5.109,00
782;6.223,00; -   ;6.223,00;297,24;5.925,76;9,76;;5.916,00;6;6.223,00; -   ;6.223,00;297,24;5.925,76;9,76; -   ;5.916,00
1;11.530,00; -   ;11.530,00;2.865,77;8.664,23;4,23;;8.660,00;3;11.530,00; -   ;11.530,00;2.865,77;8.664,23;4,23; -   ;8.660,00
2;8.547,00; -   ;8.547,00;549,62;7.997,38;20,38;;7.977,00;1;8.547,00; -   ;8.547,00;549,62;7.997,38;20,38; -   ;7.977,00
3;5.109,00; -   ;5.109,00;1.445,31;3.663,69;;4,31;3.668,00;2;5.109,00; -   ;5.109,00;1.445,31;3.663,69; -   ;4,31;3.668,00
782;5.916,00; -   ;5.916,00;325,84;5.590,16;12,16;;5.578,00;6;5.916,00; -   ;5.916,00;325,84;5.590,16;12,16; -   ;5.578,00
1;8.660,00;5.000,00;13.660,00;2.879,17;10.780,83;;28,17;10.809,00;3;8.660,00;5.000,00;13.660,00;2.879,17;10.780,83; -   ;28,17;10.809,00
2;7.977,00; -   ;7.977,00;537,54;7.439,46;21,46;;7.418,00;1;7.977,00; -   ;7.977,00;537,54;7.439,46;21,46; -   ;7.418,00
3;3.668,00;5.000,00;8.668,00;1.453,72;7.214,28;;13,72;7.228,00;2;3.668,00;5.000,00;8.668,00;1.453,72;7.214,28; -   ;13,72;7.228,00
782;5.578,00; -   ;5.578,00;306,38;5.271,62;10,62;;5.261,00;6;5.578,00; -   ;5.578,00;306,38;5.271,62;10,62; -   ;5.261,00
1;10.809,00; -   ;10.809,00;2.483,82;8.325,18;5,18;;8.320,00;3;10.809,00; -   ;10.809,00;2.483,82;8.325,18;5,18; -   ;8.320,00
2;7.418,00; -   ;7.418,00;510,04;6.907,96;17,96;;6.890,00;1;7.418,00; -   ;7.418,00;510,04;6.907,96;17,96; -   ;6.890,00
3;7.228,00; -   ;7.228,00;1.158,57;6.069,43;4,43;;6.065,00;2;7.228,00; -   ;7.228,00;1.158,57;6.069,43;4,43; -   ;6.065,00
782;5.261,00; -   ;5.261,00;128,74;5.132,26;3,26;;5.129,00;6;5.261,00; -   ;5.261,00;128,74;5.132,26;3,26; -   ;5.129,00
1;8.320,00;5.000,00;13.320,00;3.104,23;10.215,77;;9,23;10.225,00;3;8.320,00;5.000,00;13.320,00;3.104,23;10.215,77; -   ;9,23;10.225,00
2;6.890,00;5.000,00;11.890,00;878,24;11.011,76;;19,24;11.031,00;1;6.890,00;5.000,00;11.890,00;878,24;11.011,76; -   ;19,24;11.031,00
3;6.065,00; -   ;6.065,00;1.494,67;4.570,33;;9,67;4.580,00;2;6.065,00; -   ;6.065,00;1.494,67;4.570,33; -   ;9,67;4.580,00
782;5.129,00; -   ;5.129,00;315,34;4.813,66;6,66;;4.807,00;6;5.129,00; -   ;5.129,00;315,34;4.813,66;6,66; -   ;4.807,00
1;10.225,00;5.000,00;15.225,00;3.572,95;11.652,05;20,051;;11.632,00;3;10.225,00;5.000,00;15.225,00;3.572,95;11.652,05;20,051; -   ;11.632,00
2;11.031,00; -   ;11.031,00;1.064,81;9.966,19;6,19;;9.960,00;1;11.031,00; -   ;11.031,00;1.064,81;9.966,19;6,19; -   ;9.960,00
3;4.580,00;5.000,00;9.580,00;2.108,63;7.471,37;;27,63;7.499,00;2;4.580,00;5.000,00;9.580,00;2.108,63;7.471,37; -   ;27,63;7.499,00
782;4.807,00; -   ;4.807,00;696,49;4.110,51;12,51;;4.098,00;6;4.807,00; -   ;4.807,00;696,49;4.110,51;12,51; -   ;4.098,00
1;11.632,00; -   ;11.632,00;4.016,24;7.615,76;16,76;;7.599,00;3;11.632,00; -   ;11.632,00;4.016,24;7.615,76;16,76; -   ;7.599,00
2;9.960,00; -   ;9.960,00;1.083,61;8.876,39;6,39;;8.870,00;1;9.960,00; -   ;9.960,00;1.083,61;8.876,39;6,39; -   ;8.870,00
3;7.499,00; -   ;7.499,00;1.775,92;5.723,08;;6,92;5.730,00;2;7.499,00; -   ;7.499,00;1.775,92;5.723,08; -   ;6,92;5.730,00
782;4.098,00; -   ;4.098,00;567,32;3.530,68;11,68;;3.519,00;6;4.098,00; -   ;4.098,00;567,32;3.530,68;11,68; -   ;3.519,00
1;7.599,00;5.000,00;12.599,00;3.595,71;9.003,29;;0,71;9.004,00;3;7.599,00;5.000,00;12.599,00;3.595,71;9.003,29; -   ;0,71;9.004,00
2;8.870,00; -   ;8.870,00;868,23;8.001,77;;35,23;8.037,00;1;8.870,00; -   ;8.870,00;868,23;8.001,77; -   ;35,23;8.037,00
3;5.730,00;5.000,00;10.730,00;2.140,36;8.589,64;;10,36;8.600,00;2;5.730,00;5.000,00;10.730,00;2.140,36;8.589,64; -   ;10,36;8.600,00
782;3.519,00; -   ;3.519,00;181,48;3.337,52;5,52;;3.332,00;6;3.519,00; -   ;3.519,00;181,48;3.337,52;5,52; -   ;3.332,00
1;12.922,00; -   ;12.922,00;3.871,62;9.050,38;7,38;;9.043,00;3;12.922,00; -   ;12.922,00;3.871,62;9.050,38;7,38; -   ;9.043,00
2;6.030,00; -   ;6.030,00;1.481,94;4.548,06;3,06;;4.545,00;1;6.030,00; -   ;6.030,00;1.481,94;4.548,06;3,06; -   ;4.545,00
3;5.680,00; -   ;5.680,00;1.672,83;4.007,17; -   ;;4.018,00;2;5.680,00; -   ;5.680,00;1.672,83;4.007,17; -   ;10,83;4.018,00
782;2.805,00; -   ;2.805,00;256,93;2.548,07;13,07; -   ;2.535,00;6;2.805,00; -   ;2.805,00;256,93;2.548,07;13,07; -   ;2.535,00
1;9.043,00;5.000,00;14.043,00;3.552,96;10.490,04; -   ;22,96;10.513,00;3;9.043,00;5.000,00;14.043,00;3.552,96;10.490,04; -   ;22,96;10.513,00
2;4.545,00; -   ;4.545,00;1.248,76;3.296,24;3,24;;3.293,00;1;4.545,00; -   ;4.545,00;1.248,76;3.296,24;3,24; -   ;3.293,00
3;4.018,00;5.000,00;9.018,00;1.447,50;7.570,50; -   ;9,5;7.580,00;2;4.018,00;5.000,00;9.018,00;1.447,50;7.570,50; -   ;9,5;7.580,00
782;2.535,00; -   ;2.535,00;562,31;1.972,69;3,69;;1.969,00;6;2.535,00; -   ;2.535,00;562,31;1.972,69;3,69; -   ;1.969,00
1;10.513,00;5.000,00;15.513,00;3.694,36;11.818,64;2,641;;11.816,00;3;10.513,00;5.000,00;15.513,00;3.694,36;11.818,64;2,641; -   ;11.816,00
2;3.293,00;5.000,00;8.293,00;893,299;7.399,70;16,01;;7.383,00;1;3.293,00;5.000,00;8.293,00;893,299;7.399,70;16,01; -   ;7.383,00
3;7.580,00; -   ;7.580,00;1.912,28;5.667,72;2,721;;5.665,00;2;7.580,00; -   ;7.580,00;1.912,28;5.667,72;2,721; -   ;5.665,00
782;1.969,00; -   ;1.969,00;350,289;1.618,71;5,711;;1.613,00;6;1.969,00; -   ;1.969,00;350,289;1.618,71;5,711; -   ;1.613,00
1;11.816,00;5.000,00;16.816,00;4.629,13;12.186,87;;1,13;12.188,00;3;11.816,00;5.000,00;16.816,00;4.629,13;12.186,87; -   ;1,13;12.188,00
2;7.383,00; -   ;7.383,00;1.558,07;5.824,93;;5,07;5.830,00;1;7.383,00; -   ;7.383,00;1.558,07;5.824,93; -   ;5,07;5.830,00
3;5.665,00; -   ;5.665,00;1.649,56;4.015,44;0,44;;4.015,00;2;5.665,00; -   ;5.665,00;1.649,56;4.015,44;0,44; -   ;4.015,00
782;1.613,00;5.000,00;6.613,00;493,86;6.119,14;;;6.119,14;6;1.613,00;5.000,00;6.613,00;493,86;6.119,14; -   ; -   ;6.119,14
1;12.188,00;5.000,00;17.188,00;3.728,47;13.459,53;;6,47;13.466,00;3;12.188,00;5.000,00;17.188,00;3.728,47;13.459,53; -   ;6,47;13.466,00
2;5.830,00; -   ;5.830,00;1.552,34;4.277,66;7,66;;4.270,00;1;5.830,00; -   ;5.830,00;1.552,34;4.277,66;7,66; -   ;4.270,00
3;4.015,00;5.000,00;9.015,00;1.758,52;7.256,48;;3,52;7.260,00;2;4.015,00;5.000,00;9.015,00;1.758,52;7.256,48; -   ;3,52;7.260,00
3;9.125,00; -   ;9.125,00;1.366,29;7.758,71;;1,29;7.760,00;2;9.125,00; -   ;9.125,00;1.366,29;7.758,71; -   ;1,29;7.760,00
782;5.260,00; -   ;5.260,00;518,77;4.741,23;1,23;;4.740,00;6;5.260,00; -   ;5.260,00;518,77;4.741,23;1,23; -   ;4.740,00
1;15.126,00; -   ;15.126,00;3.311,27;11.814,73;3,73;;11.838,00;3;15.126,00; -   ;15.126,00;3.311,27;11.814,73;3,73; -   ;11.838,00
2;5.660,00; -   ;5.660,00;934,37;4.725,63;;4,37;4.730,00;1;5.660,00; -   ;5.660,00;934,37;4.725,63; -   ;4,37;4.730,00
3;7.760,00; -   ;7.760,00;1.411,55;6.348,45;;1,55;6.350,00;2;7.760,00; -   ;7.760,00;1.411,55;6.348,45; -   ;1,55;6.350,00
782;4.740,00; -   ;4.740,00;472,85;4.267,15;;12,85;4.280,00;6;4.740,00; -   ;4.740,00;472,85;4.267,15; -   ;12,85;4.280,00
1;11.838,00;5.000,00;16.838,00;3.413,95;13.424,05;;3,95;13.428,00;3;11.838,00;5.000,00;16.838,00;3.413,95;13.424,05; -   ;3,95;13.428,00
2;4.730,00;5.000,00;9.730,00;745,74;8.984,26;;9,74;8.994,00;1;4.730,00;5.000,00;9.730,00;745,74;8.984,26; -   ;9,74;8.994,00
3;6.350,00; -   ;6.350,00;1.899,04;4.450,96;1,96;;4.449,00;2;6.350,00; -   ;6.350,00;1.899,04;4.450,96;1,96; -   ;4.449,00
782;4.280,00; -   ;4.280,00;294,94;3.985,06;;8,94;3.994,00;6;4.280,00; -   ;4.280,00;294,94;3.985,06; -   ;8,94;3.994,00
1;13.428,00; -   ;13.428,00;3.723,88;9.704,12;15,12;;9.689,00;3;13.428,00; -   ;13.428,00;3.723,88;9.704,12;15,12; -   ;9.689,00
2;8.994,00; -   ;8.994,00;1.078,92;7.915,08;5,08;;7.910,00;1;8.994,00; -   ;8.994,00;1.078,92;7.915,08;5,08; -   ;7.910,00
3;4.449,00; -   ;4.449,00;1.788,38;2.660,62;2,62;;2.658,00;2;4.449,00; -   ;4.449,00;1.788,38;2.660,62;2,62; -   ;2.658,00
782;3.994,00; -   ;3.994,00;477,74;3.516,26;;7,74;3.524,00;6;3.994,00; -   ;3.994,00;477,74;3.516,26; -   ;7,74;3.524,00
1;9.689,00;5.000,00;14.689,00;3.039,37;11.649,63;17,63;;11.632,00;3;9.689,00;5.000,00;14.689,00;3.039,37;11.649,63;17,63; -   ;11.632,00
2;7.910,00; -   ;7.910,00;1.039,83;6.870,17;17,17;;6.853,00;1;7.910,00; -   ;7.910,00;1.039,83;6.870,17;17,17; -   ;6.853,00
3;2.658,00;5.000,00;7.658,00;1.864,10;5.793,90;;6,1;5.800,00;2;2.658,00;5.000,00;7.658,00;1.864,10;5.793,90; -   ;6,1;5.800,00
782;3.524,00; -   ;3.524,00;154,33;3.369,67;;2,33;3.372,00;6;3.524,00; -   ;3.524,00;154,33;3.369,67; -   ;2,33;3.372,00
1;11.632,00; -   ;11.632,00;1.982,20;9.649,80;4,8;;9.645,00;3;11.632,00; -   ;11.632,00;1.982,20;9.649,80;4,8; -   ;9.645,00
2;6.853,00; -   ;6.853,00;725,85;6.127,15;4,15;;6.123,00;1;6.853,00; -   ;6.853,00;725,85;6.127,15;4,15; -   ;6.123,00
3;5.800,00; -   ;5.800,00;1.149,57;4.650,43;;21,57;4.672,00;2;5.800,00; -   ;5.800,00;1.149,57;4.650,43; -   ;21,57;4.672,00
782;3.372,00; -   ;3.372,00;119,5;3.252,50;;7,5;3.260,00;6;3.372,00; -   ;3.372,00;119,5;3.252,50; -   ;7,5;3.260,00
1;9.645,00;5.000,00;14.645,00;3.343,42;11.301,58;;2,42;11.304,00;3;9.645,00;5.000,00;14.645,00;3.343,42;11.301,58; -   ;2,42;11.304,00
2;6.123,00; -   ;6.123,00;1.138,02;4.984,98;12,98;;4.972,00;1;6.123,00; -   ;6.123,00;1.138,02;4.984,98;12,98; -   ;4.972,00
3;4.672,00;5.000,00;9.672,00;1.502,32;8.169,68;;10,32;8.180,00;2;4.672,00;5.000,00;9.672,00;1.502,32;8.169,68; -   ;10,32;8.180,00
782;3.260,00; -   ;3.260,00;500,03;2.759,97;;10,03;2.770,00;6;3.260,00; -   ;3.260,00;500,03;2.759,97; -   ;10,03;2.770,00
1;11.304,00; -   ;11.304,00;2.983,63;8.320,37;10,37;;8.310,00;3;11.304,00; -   ;11.304,00;2.983,63;8.320,37;10,37; -   ;8.310,00
2;4.972,00; -   ;4.972,00;909,71;4.062,29;;;4.068,00;1;4.972,00; -   ;4.972,00;909,71;4.062,29; -   ;5,71;4.068,00
3;8.180,00; -   ;8.180,00;1.636,86;6.543,14;3,14; -   ;6.540,00;2;8.180,00; -   ;8.180,00;1.636,86;6.543,14;3,14; -   ;6.540,00
782;2.770,00; -   ;2.770,00;695,95;2.074,05;4,05; -   ;2.070,00;6;2.770,00; -   ;2.770,00;695,95;2.074,05;4,05; -   ;2.070,00
1;8.310,00;5.000,00;13.310,00;3.132,74;10.177,26;;2,74;10.180,00;3;8.310,00;5.000,00;13.310,00;3.132,74;10.177,26; -   ;2,74;10.180,00
2;4.068,00;5.000,00;9.068,00;1.060,37;8.007,63;;19,37;8.027,00;1;4.068,00;5.000,00;9.068,00;1.060,37;8.007,63; -   ;19,37;8.027,00
3;6.540,00; -   ;6.540,00;1.727,02;4.812,98;2,98;;4.810,00;2;6.540,00; -   ;6.540,00;1.727,02;4.812,98;2,98; -   ;4.810,00
782;2.070,00; -   ;2.070,00;448,69;1.621,31;1,31;;1.620,00;6;2.070,00; -   ;2.070,00;448,69;1.621,31;1,31; -   ;1.620,00
1;10.180,00;5.000,00;15.180,00;3.572,51;11.607,49;;6,51;11.614,00;3;10.180,00;5.000,00;15.180,00;3.572,51;11.607,49; -   ;6,51;11.614,00
2;8.027,00; -   ;8.027,00;1.178,83;6.848,17;;9,38;6.858,00;1;8.027,00; -   ;8.027,00;1.178,83;6.848,17; -   ;9,38;6.858,00
3;4.810,00; -   ;4.810,00;2.244,24;2.565,76;5,76; -   ;2.560,00;2;4.810,00; -   ;4.810,00;2.244,24;2.565,76;5,76; -   ;2.560,00
782;1.620,00;5.000,00;6.620,00;370,139;6.249,86;;11,14;6.261,00;6;1.620,00;5.000,00;6.620,00;370,139;6.249,86; -   ;11,14;6.261,00
1;11.614,00;5.000,00;16.614,00;3.600,43;13.013,57;;16,43;13.030,00;3;11.614,00;5.000,00;16.614,00;3.600,43;13.013,57; -   ;16,43;13.030,00
2;6.858,00; -   ;6.858,00;1.309,74;5.548,26;;11,74;5.560,00;1;6.858,00; -   ;6.858,00;1.309,74;5.548,26; -   ;11,74;5.560,00
3;2.560,00;5.000,00;7.560,00;2.027,92;5.532,08;;9,92;5.542,00;2;2.560,00;5.000,00;7.560,00;2.027,92;5.532,08; -   ;9,92;5.542,00
782;6.261,00; -   ;6.261,00;498,31;5.762,69;11,69;;5.751,00;6;6.261,00; -   ;6.261,00;498,31;5.762,69;11,69; -   ;5.751,00
1;13.030,00;5.000,00;18.030,00;2.976,22;15.053,78;;16,22;15.070,00;3;13.030,00;5.000,00;18.030,00;2.976,22;15.053,78; -   ;16,22;15.070,00
2;5.560,00;5.000,00;10.560,00;1.114,68;9.445,32;;19,68;9.465,00;1;5.560,00;5.000,00;10.560,00;1.114,68;9.445,32; -   ;19,68;9.465,00
3;5.542,00;5.000,00;10.542,00;2.200,05;8.341,95;;28,05;8.370,00;2;5.542,00;5.000,00;10.542,00;2.200,05;8.341,95; -   ;28,05;8.370,00
782;5.751,00; -   ;5.751,00;167,18;5.583,82;3,82;;5.580,00;6;5.751,00; -   ;5.751,00;167,18;5.583,82;3,82; -   ;5.580,00
1;15.070,00; -   ;15.070,00;2.305,81;12.764,19;;12,81;12.777,00;3;15.070,00; -   ;15.070,00;2.305,81;12.764,19; -   ;12,81;12.777,00
2;9.465,00; -   ;9.465,00;694,36;8.770,64;;24,36;8.795,00;1;9.465,00; -   ;9.465,00;694,36;8.770,64; -   ;24,36;8.795,00
3;8.370,00; -   ;8.370,00;1.480,28;6.889,72;;17,28;6.907,00;2;8.370,00; -   ;8.370,00;1.480,28;6.889,72; -   ;17,28;6.907,00
782;5.580,00; -   ;5.580,00;106,05;5.473,95;3,95;;5.470,00;6;5.580,00; -   ;5.580,00;106,05;5.473,95;3,95; -   ;5.470,00
1;12.777,00;10.000,00;22.777,00;3.831,15;18.945,85;;19,15;18.965,00;3;12.777,00;10.000,00;22.777,00;3.831,15;18.945,85; -   ;19,15;18.965,00
2;8.795,00; -   ;8.795,00;1.104,28;7.690,72;31,72;;7.659,00;1;8.795,00; -   ;8.795,00;1.104,28;7.690,72;31,72; -   ;7.659,00
3;6.907,00; -   ;6.907,00;1.927,77;4.979,23;11,23;;4.968,00;2;6.907,00; -   ;6.907,00;1.927,77;4.979,23;11,23; -   ;4.968,00
782;5.470,00; -   ;5.470,00;581,74;4.888,26;8,26;;4.880,00;6;5.470,00; -   ;5.470,00;581,74;4.888,26;8,26; -   ;4.880,00
1;18.965,00; -   ;18.965,00;3.376,86;15.588,14;;37,86;15.626,00;3;18.965,00; -   ;18.965,00;3.376,86;15.588,14; -   ;37,86;15.626,00
2;7.659,00; -   ;7.659,00;1.134,19;6.524,81;4,81;;6.520,00;1;7.659,00; -   ;7.659,00;1.134,19;6.524,81;4,81; -   ;6.520,00
3;4.968,00; -   ;4.968,00;1.265,97;3.702,03;5,03;;3.697,00;2;4.968,00; -   ;4.968,00;1.265,97;3.702,03;5,03; -   ;3.697,00
782;4.880,00; -   ;4.880,00;590,099;4.289,90;18,901;;4.271,00;6;4.880,00; -   ;4.880,00;590,099;4.289,90;18,901; -   ;4.271,00
1;15.626,00; -   ;15.626,00;3.513,91;12.112,09;28,09;;12.084,00;3;15.626,00; -   ;15.626,00;3.513,91;12.112,09;28,09; -   ;12.084,00
2;6.520,00;5.000,00;11.520,00;1.699,09;9.820,91;;9,09;9.830,00;1;6.520,00;5.000,00;11.520,00;1.699,09;9.820,91; -   ;9,09;9.830,00
3;3.697,00;5.000,00;8.697,00;1.521,48;7.175,52;;4,48;7.180,00;2;3.697,00;5.000,00;8.697,00;1.521,48;7.175,52; -   ;4,48;7.180,00
782;4.271,00; -   ;4.271,00;331,65;3.939,35;3,35;;3.936,00;6;4.271,00; -   ;4.271,00;331,65;3.939,35;3,35; -   ;3.936,00
1;12.084,00; -   ;12.084,00;2.961,39;9.122,61;20,61;;9.102,00;3;12.084,00; -   ;12.084,00;2.961,39;9.122,61;20,61; -   ;9.102,00
2;9.830,00; -   ;9.830,00;1.369,08;8.460,92;10,92;;8.450,00;1;9.830,00; -   ;9.830,00;1.369,08;8.460,92;10,92; -   ;8.450,00
3;7.180,00; -   ;7.180,00;1.667,96;5.512,04;;6,96;5.519,00;2;7.180,00; -   ;7.180,00;1.667,96;5.512,04; -   ;6,96;5.519,00
782;3.936,00; -   ;3.936,00;433,91;3.502,09;9,09;;3.493,00;6;3.936,00; -   ;3.936,00;433,91;3.502,09;9,09; -   ;3.493,00
1;9.102,00; -   ;9.102,00;3.064,98;6.037,02;4,02;;6.033,00;3;9.102,00; -   ;9.102,00;3.064,98;6.037,02;4,02; -   ;6.033,00
2;8.450,00; -   ;8.450,00;1.434,22;7.015,78;5,78;;7.010,00;1;8.450,00; -   ;8.450,00;1.434,22;7.015,78;5,78; -   ;7.010,00
3;5.519,00; -   ;5.519,00;2.026,51;3.492,49;14,49;;3.478,00;2;5.519,00; -   ;5.519,00;2.026,51;3.492,49;14,49; -   ;3.478,00
782;3.493,00; -   ;3.493,00;736,56;2.756,44;11,44;;2.745,00;6;3.493,00; -   ;3.493,00;736,56;2.756,44;11,44; -   ;2.745,00
1;6.033,00;10.000,00;16.033,00;2.686,25;13.346,75;;12,25;13.359,00;3;6.033,00;10.000,00;16.033,00;2.686,25;13.346,75; -   ;12,25;13.359,00
1;13.940,00;5.000,00;18.940,00;3.713,64;15.226,36;6,35; -   ;15.220,00;3;13.940,00;5.000,00;18.940,00;3.713,64;15.226,36;6,35; -   ;15.220,00
2;7.625,00; -   ;7.625,00;1.509,96;6.115,05;5,05; -   ;6.110,00;1;7.625,00; -   ;7.625,00;1.509,96;6.115,05;5,05; -   ;6.110,00
3;5.910,00; -   ;5.910,00;2.388,52;3.521,48;6,49; -   ;3.515,00;2;5.910,00; -   ;5.910,00;2.388,52;3.521,48;6,49; -   ;3.515,00
782;2.135,00;5.000,00;7.135,00;706,85;6.428,15; -   ;24,85;6.453,00;6;2.135,00;5.000,00;7.135,00;706,85;6.428,15; -   ;24,85;6.453,00
1;15.220,00; -   ;15.220,00;644,74;14.575,26;5,26;;14.570,00;3;15.220,00; -   ;15.220,00;644,74;14.575,26;5,26; -   ;14.570,00
2;6.110,00; -   ;6.110,00;872,5;5.237,50;17,5;;5.220,00;1;6.110,00; -   ;6.110,00;872,5;5.237,50;17,5; -   ;5.220,00
3;3.515,00; -   ;3.515,00;1.451,23;2.063,77;3,77;;2.060,00;2;3.515,00; -   ;3.515,00;1.451,23;2.063,77;3,77; -   ;2.060,00
782;6.453,00; -   ;6.453,00;111,14;6.341,86;;10,14;6.352,00;6;6.453,00; -   ;6.453,00;111,14;6.341,86; -   ;10,14;6.352,00
1;14.570,00;5.000,00;19.570,00;2.269,08;17.300,92;;43,08;17.344,00;3;14.570,00;5.000,00;19.570,00;2.269,08;17.300,92; -   ;43,08;17.344,00
2;5.220,00; -   ;5.220,00;504,255;4.715,75;5,74; -   ;4.710,00;1;5.220,00; -   ;5.220,00;504,255;4.715,75;5,74; -   ;4.710,00
3;2.060,00;5.000,00;7.060,00;1.409,67;5.650,33;;19,67;5.670,00;2;2.060,00;5.000,00;7.060,00;1.409,67;5.650,33; -   ;19,67;5.670,00
782;6.352,00; -   ;6.352,00;268,56;6.083,44;;0,56;6.084,00;6;6.352,00; -   ;6.352,00;268,56;6.083,44; -   ;0,56;6.084,00
1;17.344,00; -   ;17.344,00;2.111,09;15.232,91;;47,09;15.280,00;3;17.344,00; -   ;17.344,00;2.111,09;15.232,91; -   ;47,09;15.280,00
2;4.710,00; -   ;4.710,00;586,23;4.123,77;;17,23;4.141,00;1;4.710,00; -   ;4.710,00;586,23;4.123,77; -   ;17,23;4.141,00
3;5.670,00; -   ;5.670,00;1.388,71;4.281,29;14,29;;4.267,00;2;5.670,00; -   ;5.670,00;1.388,71;4.281,29;14,29; -   ;4.267,00
782;6.084,00; -   ;6.084,00;178,04;5.905,96;1,96;;5.904,00;6;6.084,00; -   ;6.084,00;178,04;5.905,96;1,96; -   ;5.904,00
1;15.280,00;5.000,00;20.280,00;3.240,01;17.039,99;5,99;;17.034,00;3;15.280,00;5.000,00;20.280,00;3.240,01;17.039,99;5,99; -   ;17.034,00
2;4.141,00;5.000,00;9.141,00;728,39;8.412,61;;31,39;8.444,00;1;4.141,00;5.000,00;9.141,00;728,39;8.412,61; -   ;31,39;8.444,00
3;4.267,00; -   ;4.267,00;1.656,92;2.610,08;5,08;;2.605,00;2;4.267,00; -   ;4.267,00;1.656,92;2.610,08;5,08; -   ;2.605,00
782;5.904,00; -   ;5.904,00;371,6;5.532,40;6,4;;5.526,00;6;5.904,00; -   ;5.904,00;371,6;5.532,40;6,4; -   ;5.526,00
1;17.034,00; -   ;17.034,00;2.799,17;14.234,83;29,83;;14.205,00;3;17.034,00; -   ;17.034,00;2.799,17;14.234,83;29,83; -   ;14.205,00
2;8.444,00; -   ;8.444,00;530,09;7.913,91;18,91;;7.895,00;1;8.444,00; -   ;8.444,00;530,09;7.913,91;18,91; -   ;7.895,00
3;2.605,00; -   ;2.605,00;1.823,41;781,59;1,59;;780;2;2.605,00; -   ;2.605,00;1.823,41;781,59;1,59; -   ;780
782;5.526,00; -   ;5.526,00;363,75;5.162,25;;9,75;5.172,00;6;5.526,00; -   ;5.526,00;363,75;5.162,25; -   ;9,75;5.172,00
1;14.205,00;5.000,00;19.205,00;3.396,35;15.808,65;;9,35;15.818,00;3;14.205,00;5.000,00;19.205,00;3.396,35;15.808,65; -   ;9,35;15.818,00
2;7.895,00; -   ;7.895,00;1.042,64;6.852,36;7,36;;6.845,00;1;7.895,00; -   ;7.895,00;1.042,64;6.852,36;7,36; -   ;6.845,00
3;780; -   ;780;540,63;239,37;;0,63;240;2;780; -   ;780;540,63;239,37; -   ;0,63;240
782;5.172,00; -   ;5.172,00;548,94;4.623,06;;9,94;4.633,00;6;5.172,00; -   ;5.172,00;548,94;4.623,06; -   ;9,94;4.633,00
1;15.818,00; -   ;15.818,00;3.291,13;12.526,87;50,87;;12.476,00;3;15.818,00; -   ;15.818,00;3.291,13;12.526,87;50,87; -   ;12.476,00
2;6.845,00; -   ;6.845,00;1.595,02;5.249,98;7,98;;5.242,00;1;6.845,00; -   ;6.845,00;1.595,02;5.249,98;7,98; -   ;5.242,00
3;240; -   ;240; -   ;240;;;240;2;240; -   ;240; -   ;240; -   ; -   ;240
782;4.633,00; -   ;4.633,00;635,55;3.997,45;;1,55;3.999,00;6;4.633,00; -   ;4.633,00;635,55;3.997,45; -   ;1,55;3.999,00
1;12.476,00; -   ;12.476,00;3.173,30;9.302,70;24,7;;9.278,00;3;12.476,00; -   ;12.476,00;3.173,30;9.302,70;24,7; -   ;9.278,00
2;5.242,00; -   ;5.242,00;2.079,55;3.162,45;2,45;;3.160,00;1;5.242,00; -   ;5.242,00;2.079,55;3.162,45;2,45; -   ;3.160,00
3;240;5.000,00;5.240,00;937,41;4.302,59;;11,41;4.314,00;2;240;5.000,00;5.240,00;937,41;4.302,59; -   ;11,41;4.314,00
782;3.999,00; -   ;3.999,00;370,42;3.628,58;;1,42;3.630,00;6;3.999,00; -   ;3.999,00;370,42;3.628,58; -   ;1,42;3.630,00
1;9.278,00;5.000,00;14.278,00;2.854,10;11.423,90;40,9;;11.383,00;3;9.278,00;5.000,00;14.278,00;2.854,10;11.423,90;40,9; -   ;11.383,00
2;3.160,00; -   ;3.160,00;1.167,59;1.992,41;2,41;;1.990,00;1;3.160,00; -   ;3.160,00;1.167,59;1.992,41;2,41; -   ;1.990,00
3;4.314,00;5.000,00;9.314,00;2.139,98;7.174,02;;24,98;7.199,00;2;4.314,00;5.000,00;9.314,00;2.139,98;7.174,02; -   ;24,98;7.199,00
782;3.630,00; -   ;3.630,00;489,56;3.140,44;2,44;;3.138,00;6;3.630,00; -   ;3.630,00;489,56;3.140,44;2,44; -   ;3.138,00
1;11.383,00; -   ;11.383,00;1.527,05;9.855,95;;14,05;9.870,00;3;11.383,00; -   ;11.383,00;1.527,05;9.855,95; -   ;14,05;9.870,00
2;1.990,00; -   ;1.990,00;862,96;1.127,04;2,04;;1.125,00;1;1.990,00; -   ;1.990,00;862,96;1.127,04;2,04; -   ;1.125,00
3;7.199,00; -   ;7.199,00;1.477,21;5.721,79;;30,21;5.752,00;2;7.199,00; -   ;7.199,00;1.477,21;5.721,79; -   ;30,21;5.752,00
